"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 22 18:11:04 UTC 2026","Tue Sep 22 18:11:17 UTC 2026","12640","Creacion de Impuestos Diferidos","specs/ImpuestosDiferidos/crearImpuestosDif.test.ts","Verificar creacion de Impuestos Diferidos","","","Impuestos Diferidos | [SP] | TC10: Verificar mensaje de error cuando no hay datos de año anterior (2023)",""
"passed","Tue Sep 22 18:07:31 UTC 2026","Tue Sep 22 18:08:09 UTC 2026","37294","Creacion de Impuestos Diferidos - crearImpuestosDifTwo","specs/ImpuestosDiferidos/crearImpuestosDifTwo.test.ts","Verificar creacion de Impuestos Diferidos con DEMOGRAFIX S.A.","","","Impuestos Diferidos | [SP] | TC08: Verificar error cuando solo se ingresa saldo de Jubilación (Desahucio en $0)",""
"passed","Tue Sep 22 18:12:08 UTC 2026","Tue Sep 22 18:12:36 UTC 2026","28272","Creacion de Impuestos Diferidos","specs/ImpuestosDiferidos/crearImpuestosDif.test.ts","Verificar creacion de Impuestos Diferidos","","","Impuestos Diferidos | [SP] | TC13: Verificar error cuando tasa de impuesto es 100% (valor inválido)",""
"passed","Tue Sep 22 18:09:31 UTC 2026","Tue Sep 22 18:10:18 UTC 2026","47206","Creacion de Impuestos Diferidos - crearImpuestosDifTwo","specs/ImpuestosDiferidos/crearImpuestosDifTwo.test.ts","Verificar tabla de informes de Impuestos Diferidos y eliminar informes pendientes","","","Impuestos Diferidos | [SP] | TC13: Eliminar un informe pendiente y verificar que el total de la tabla se reduce",""
"passed","Tue Sep 22 18:11:40 UTC 2026","Tue Sep 22 18:12:08 UTC 2026","28372","Creacion de Impuestos Diferidos","specs/ImpuestosDiferidos/crearImpuestosDif.test.ts","Verificar creacion de Impuestos Diferidos","","","Impuestos Diferidos | [SP] | TC12: Verificar error cuando tasa de impuesto es 0% (valor inválido)",""
"passed","Tue Sep 22 18:07:29 UTC 2026","Tue Sep 22 18:08:01 UTC 2026","31477","Creacion de Impuestos Diferidos","specs/ImpuestosDiferidos/crearImpuestosDif.test.ts","Verificar creacion de Impuestos Diferidos","","","Impuestos Diferidos | [SP] | TC03: Verificar mensaje de error cuando se sube un archivo invalido en paso 3 (Saldos Contables)",""
"passed","Tue Sep 22 18:11:17 UTC 2026","Tue Sep 22 18:11:40 UTC 2026","22684","Creacion de Impuestos Diferidos","specs/ImpuestosDiferidos/crearImpuestosDif.test.ts","Verificar creacion de Impuestos Diferidos","","","Impuestos Diferidos | [AP] | TC16: Verificar recuperación de error seleccionando año válido (2023 → 2024)",""
"passed","Tue Sep 22 18:08:09 UTC 2026","Tue Sep 22 18:09:03 UTC 2026","54957","Creacion de Impuestos Diferidos - crearImpuestosDifTwo","specs/ImpuestosDiferidos/crearImpuestosDifTwo.test.ts","Verificar creacion de Impuestos Diferidos con DEMOGRAFIX S.A.","","","Impuestos Diferidos | [SP] | TC11 (DEMOGRAFIX): Verificar múltiples intentos de subida de archivos (incorrecto → correcto → incorrecto)",""
"passed","Tue Sep 22 18:12:36 UTC 2026","Tue Sep 22 18:13:06 UTC 2026","29770","Creacion de Impuestos Diferidos","specs/ImpuestosDiferidos/crearImpuestosDif.test.ts","Verificar creacion de Impuestos Diferidos","","","Impuestos Diferidos | [AP] | TC14: Verificar corrección de tasa inválida (0% → 22%)",""
"passed","Tue Sep 22 18:05:09 UTC 2026","Tue Sep 22 18:05:47 UTC 2026","38317","Creacion de Impuestos Diferidos - crearImpuestosDifTwo","specs/ImpuestosDiferidos/crearImpuestosDifTwo.test.ts","Verificar validaciones de Impuestos Diferidos - Lote 2","","","Impuestos Diferidos | [HP] | TC06: Usuario puede ingresar saldos contables altos manualmente",""
"passed","Tue Sep 22 18:10:04 UTC 2026","Tue Sep 22 18:10:34 UTC 2026","29769","Creacion de Impuestos Diferidos","specs/ImpuestosDiferidos/crearImpuestosDif.test.ts","Verificar creacion de Impuestos Diferidos","","","Impuestos Diferidos | [SP] | TC17: Verificar error cuando campos de saldos contables están vacíos",""
"passed","Tue Sep 22 18:06:56 UTC 2026","Tue Sep 22 18:07:29 UTC 2026","33478","Creacion de Impuestos Diferidos","specs/ImpuestosDiferidos/crearImpuestosDif.test.ts","Verificar creacion de Impuestos Diferidos","","","Impuestos Diferidos | [AP] | TC15: Usuario puede completar solicitud con opción ""La entidad no registra saldos""",""
"passed","Tue Sep 22 18:04:07 UTC 2026","Tue Sep 22 18:05:09 UTC 2026","62147","Creacion de Impuestos Diferidos - crearImpuestosDifTwo","specs/ImpuestosDiferidos/crearImpuestosDifTwo.test.ts","Verificar validaciones de Impuestos Diferidos - Lote 2","","","Impuestos Diferidos | [SP] | TC05: Verificar que no se puede continuar sin autorizar la estimación (Sin Seleccionar Autorizo estimacion)",""
"passed","Tue Sep 22 18:10:34 UTC 2026","Tue Sep 22 18:11:04 UTC 2026","30253","Creacion de Impuestos Diferidos","specs/ImpuestosDiferidos/crearImpuestosDif.test.ts","Verificar creacion de Impuestos Diferidos","","","Impuestos Diferidos | [SP] | TC09: Verificar error cuando solo se ingresa saldo de Desahucio (Jubilación en $0)",""
"passed","Tue Sep 22 18:04:06 UTC 2026","Tue Sep 22 18:04:53 UTC 2026","46386","Creacion de Impuestos Diferidos","specs/ImpuestosDiferidos/crearImpuestosDif.test.ts","Verificar creacion de Impuestos Diferidos","","","Impuestos Diferidos | [SP] | TC01: Verificar mensaje de error cuando no hay empleados en periodo seleccionado",""
"passed","Tue Sep 22 18:04:53 UTC 2026","Tue Sep 22 18:05:34 UTC 2026","40733","Creacion de Impuestos Diferidos","specs/ImpuestosDiferidos/crearImpuestosDif.test.ts","Verificar creacion de Impuestos Diferidos","","","Impuestos Diferidos | [HP] | TC02: Usuario puede mandar solicitud de Impuestos Diferidos @daily",""
"passed","Tue Sep 22 18:09:09 UTC 2026","Tue Sep 22 18:09:18 UTC 2026","8578","Creacion de Impuestos Diferidos - crearImpuestosDifTwo","specs/ImpuestosDiferidos/crearImpuestosDifTwo.test.ts","Verificar tabla de informes de Impuestos Diferidos y eliminar informes pendientes","","","Impuestos Diferidos | [HP] | TC12: Verificar la tabla de informes pendientes (columnas, filas y total de paginación)",""
"passed","Tue Sep 22 18:05:47 UTC 2026","Tue Sep 22 18:06:27 UTC 2026","40070","Creacion de Impuestos Diferidos - crearImpuestosDifTwo","specs/ImpuestosDiferidos/crearImpuestosDifTwo.test.ts","Verificar validaciones de Impuestos Diferidos - Lote 2","","","Impuestos Diferidos | [SP] | TC07: Verificar que no se puede continuar con saldos contables en cero",""
"passed","Tue Sep 22 18:05:34 UTC 2026","Tue Sep 22 18:06:56 UTC 2026","82187","Creacion de Impuestos Diferidos","specs/ImpuestosDiferidos/crearImpuestosDif.test.ts","Verificar creacion de Impuestos Diferidos","","","Impuestos Diferidos | [DBG] | TC02-DEBUG: Capturar endpoints reales sin interceptación",""
"passed","Tue Sep 22 18:06:27 UTC 2026","Tue Sep 22 18:07:31 UTC 2026","64135","Creacion de Impuestos Diferidos - crearImpuestosDifTwo","specs/ImpuestosDiferidos/crearImpuestosDifTwo.test.ts","Verificar creacion de Impuestos Diferidos con DEMOGRAFIX S.A.","","","Impuestos Diferidos | [HP] | TC04 (DEMOGRAFIX): Usuario puede completar flujo con archivo válido de saldos contables",""
